variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	146467	2.46220499691053	2.50431915965693	0.0761993302604204	superiorfrontal (8.32%, 100.00%)	precentral (7.33%, 99.99%)	superiorparietal (7.14%, 99.95%)
sex	1	4451	2.45158533671614	-0.0680323365345092	0.0136836498494086	parsopercularis (27.03%, 38.57%)	precentral (18.27%, 7.57%)	parstriangularis (17.43%, 37.93%)
sex	2	2396	2.49425887647491	0.0909584109268722	0.0158072120874641	postcentral (97.87%, 24.63%)	superiorparietal (2.13%, 0.49%)	NA
sex	3	1517	2.52730950547279	-0.075087659593841	0.014649591932961	superiorfrontal (62.36%, 7.77%)	rostralanteriorcingulate (19.78%, 22.22%)	medialorbitofrontal (17.86%, 10.21%)
sex	4	1076	2.53515795759961	-0.0874752448110055	0.0199673744697525	inferiortemporal (60.97%, 14.86%)	middletemporal (22.21%, 5.37%)	fusiform (16.82%, 3.84%)
sex	5	1146	2.45352250008351	-0.0521424617098212	0.0118000841314334	rostralmiddlefrontal (76.96%, 12.18%)	parsopercularis (15.10%, 5.55%)	parstriangularis (7.94%, 4.45%)
sex	6	1534	2.44189635183321	0.0883210521735338	0.0199755551257065	precentral (97.91%, 13.99%)	paracentral (2.09%, 0.97%)	NA
sex	7	881	2.41640752032056	-0.0543237500078765	0.0119762380621169	rostralmiddlefrontal (100%, 12.16%)	NA	NA
sex	8	888	2.35032701379248	0.0793022979931856	0.017126099866194	inferiorparietal (100%, 11.28%)	NA	NA
sex	9	581	2.44246679935124	0.0597236568040877	0.0139496716015079	lateraloccipital (95.18%, 8.67%)	inferiorparietal (4.82%, 0.36%)	NA
sex	10	808	2.39549500316588	-0.128725879115633	0.0275896318708685	temporalpole (60.27%, 58.05%)	insula (19.18%, 2.96%)	superiortemporal (15.59%, 1.73%)
sex	11	873	2.4409512691736	-0.0671418665439949	0.0136600320749113	posteriorcingulate (100%, 26.73%)	NA	NA
sex	12	683	2.39881711759647	-0.0750533004739972	0.0139650113207028	medialorbitofrontal (78.77%, 20.28%)	lateralorbitofrontal (21.23%, 3.46%)	NA
sex	13	714	2.46163064573337	-0.0565877185054436	0.0134842786011847	superiortemporal (46.64%, 4.58%)	bankssts (30.53%, 10.20%)	middletemporal (22.83%, 3.66%)
sex	14	597	2.53773506596018	-0.0787125442932099	0.0190993561807215	superiortemporal (100%, 8.21%)	NA	NA
sex	15	334	2.4604522517866	0.0698765030654961	0.016963175589966	lateraloccipital (100%, 5.24%)	NA	NA
sex	16	749	2.4849443939011	-0.0959772571414033	0.0191092480307268	isthmuscingulate (50.47%, 14.93%)	lingual (36.98%, 6.59%)	precuneus (12.55%, 1.29%)
sex	17	589	2.49368309158354	0.0635111990285142	0.0161021936792368	superiorparietal (100%, 5.63%)	NA	NA
sex	18	303	2.54413021662601	-0.0542986492807716	0.0143107677450274	pericalcarine (92.41%, 14.64%)	lingual (7.59%, 0.55%)	NA
sex	19	376	2.46904868964454	0.0728958627664821	0.0201386672474365	inferiortemporal (54.26%, 4.62%)	middletemporal (45.74%, 3.86%)	NA
sex	20	355	2.42904140145393	-0.0491126999363933	0.0126997300594206	rostralmiddlefrontal (100%, 4.9%)	NA	NA
