variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	145307	2.46279486329752	2.51454982927177	0.0712178676922434	superiorfrontal (8.38%, 99.99%)	precentral (7.39%, 99.94%)	superiorparietal (7.19%, 99.89%)
year14_smokingstatus3	1	3777	2.43907726454417	-0.0672876169110594	0.0171034876957461	superiorfrontal (98.94%, 30.68%)	rostralanteriorcingulate (0.58%, 1.63%)	rostralmiddlefrontal (0.48%, 0.25%)
year14_smokingstatus3	2	406	2.45163707563932	-0.0732441797228576	0.0195295790880184	inferiortemporal (74.14%, 6.82%)	middletemporal (25.86%, 2.36%)	NA
year14_smokingstatus3	3	337	2.42930751959713	-0.0554498792225246	0.0146157208647723	fusiform (100%, 7.15%)	NA	NA
year14_smokingstatus3	4	296	2.44445917096965	-0.0606905693012113	0.0149612696778432	rostralmiddlefrontal (100%, 4.09%)	NA	NA
year14_smokingstatus3	5	447	2.44475969470726	-0.0532646242454148	0.014438550867207	supramarginal (94.41%, 4.91%)	superiortemporal (5.59%, 0.34%)	NA
year14_smokingstatus3	6	347	2.42641977324522	-0.0466191029278105	0.0130327642500744	superiorfrontal (71.76%, 2.04%)	caudalmiddlefrontal (28.24%, 2.62%)	NA
year14_smokingstatus3	7	450	2.44851232966265	-0.058502499676413	0.0153469431669348	paracentral (100%, 13.66%)	NA	NA
year14_smokingstatus3	8	371	2.52781439939806	-0.0450963208055239	0.0118951585038372	superiorparietal (66.04%, 2.34%)	inferiorparietal (33.96%, 1.60%)	NA
AGEPARENT.x	1	3736	2.47629135720108	-0.00421263520687876	0.00101640408177677	insula (37.93%, 27.10%)	superiortemporal (36.70%, 18.86%)	supramarginal (19.75%, 8.58%)
AGEPARENT.x	2	1624	2.40306637163231	-0.00461647903008772	0.00115087093617521	superiorfrontal (100%, 13.33%)	NA	NA
AGEPARENT.x	3	1381	2.49553063216643	-0.00369336083447082	0.000942930916714051	inferiorparietal (54.02%, 9.48%)	bankssts (29.54%, 19.09%)	supramarginal (16.44%, 2.64%)
AGEPARENT.x	4	1373	2.5657871112594	-0.00405910577440535	0.000941446532603171	superiortemporal (49.96%, 9.43%)	middletemporal (38.02%, 11.73%)	bankssts (12.02%, 7.72%)
AGEPARENT.x	5	558	2.45761525140059	0.00406905185551413	0.00109746787900699	lingual (87.99%, 11.68%)	lateraloccipital (10.57%, 0.92%)	pericalcarine (1.43%, 0.42%)
AGEPARENT.x	6	696	2.44756785624208	-0.00394870684951833	0.00103211557419352	superiorfrontal (88.07%, 5.03%)	rostralanteriorcingulate (10.34%, 5.33%)	caudalanteriorcingulate (1.58%, 0.76%)
AGEPARENT.x	7	857	2.49081490256253	-0.0039915682708838	0.00104396996682492	posteriorcingulate (54.61%, 14.33%)	caudalanteriorcingulate (32.67%, 19.46%)	superiorfrontal (12.72%, 0.89%)
sex	1	13048	2.47995411505033	-0.0608509153709818	0.0114697572590105	insula (18.66%, 46.57%)	superiortemporal (14.86%, 26.67%)	parsopercularis (13.93%, 58.26%)
sex	2	3921	2.39743168192994	-0.0455334943017807	0.00867765907730714	rostralmiddlefrontal (86.30%, 46.72%)	parsopercularis (8.54%, 10.74%)	parstriangularis (3.70%, 7.09%)
sex	3	4912	2.46949733111331	0.0698689824532936	0.0111588964963799	postcentral (60.5%, 31.22%)	superiorparietal (39.5%, 18.55%)	NA
sex	4	3801	2.48230556209268	0.0611239816068278	0.0122770140122968	inferiorparietal (64.40%, 31.10%)	supramarginal (27.52%, 12.16%)	lateraloccipital (8.08%, 4.81%)
sex	5	3379	2.43604837338127	-0.0654131630465904	0.0107318184697644	medialorbitofrontal (47.17%, 60.08%)	superiorfrontal (31.84%, 8.83%)	rostralanteriorcingulate (13.82%, 34.59%)
sex	6	3391	2.49815631416034	0.0686730014721101	0.0130987961267637	precentral (69.83%, 22.05%)	superiorfrontal (29.46%, 8.20%)	paracentral (0.71%, 0.73%)
sex	7	2003	2.49338857388621	0.0554683349005547	0.010924754906548	lateraloccipital (86.27%, 27.09%)	superiorparietal (6.94%, 1.33%)	inferiorparietal (6.79%, 1.73%)
sex	8	1614	2.51039121465391	-0.0379267169238799	0.00950890818213792	middletemporal (45.97%, 16.67%)	bankssts (37.36%, 28.22%)	superiortemporal (16.67%, 3.70%)
sex	9	581	2.56242673942722	-0.0453932735806078	0.0104140010558184	pericalcarine (73.84%, 22.44%)	lingual (22.55%, 3.12%)	lateraloccipital (3.44%, 0.31%)
sex	10	1235	2.47181716802431	-0.0470400015125994	0.00928453197778176	posteriorcingulate (82.59%, 31.23%)	paracentral (14.74%, 5.53%)	precuneus (2.67%, 0.45%)
sex	11	1037	2.44618970152558	0.0520483243675218	0.0121373468462159	paracentral (80.23%, 25.26%)	superiorfrontal (19.77%, 1.68%)	NA
sex	12	705	2.4655711575384	0.0495974791546663	0.01311835607527	inferiortemporal (71.49%, 11.42%)	middletemporal (27.52%, 4.36%)	lateraloccipital (0.99%, 0.11%)
sex	13	637	2.34833390081049	-0.0449421306139259	0.0098089700918557	lateralorbitofrontal (100%, 15.21%)	NA	NA
sex	14	737	2.4812710205726	0.0575792465960478	0.0120553730290732	superiortemporal (76.39%, 7.74%)	transversetemporal (23.61%, 16.35%)	NA
sex	15	775	2.40401385438666	-0.073767897534755	0.0131338008493185	lingual (49.42%, 9.11%)	isthmuscingulate (34.58%, 10.59%)	precuneus (16.00%, 1.70%)
sex	16	594	2.38898952148226	-0.0389286505735733	0.0090266649802576	superiorfrontal (48.65%, 2.37%)	rostralmiddlefrontal (47.64%, 3.91%)	caudalmiddlefrontal (3.70%, 0.59%)
sex	17	318	2.45721735285748	0.0462232305662437	0.0111799008189554	superiorfrontal (99.69%, 2.60%)	frontalpole (0.31%, 0.37%)	NA
sex	18	430	2.47003147754874	0.0657698796932087	0.0171068278899373	parahippocampal (93.49%, 21.87%)	fusiform (6.51%, 0.59%)	NA
sex	19	399	2.53520950109135	-0.042785140090531	0.00994841359266288	precuneus (68.67%, 3.75%)	isthmuscingulate (31.33%, 4.94%)	NA
bmi	1	614	2.41736774834684	0.0051496850466204	0.00141366662462136	pericalcarine (70.68%, 22.70%)	lingual (29.32%, 4.28%)	NA
ethnicity_group	1	3832	2.45954190047827	-0.0651872333242229	0.0149444045045944	lingual (28.39%, 25.87%)	fusiform (22.23%, 18.07%)	precuneus (11.12%, 5.83%)
ethnicity_group	2	1421	2.49217667468619	-0.052601983614743	0.0131726154839957	lateraloccipital (68.19%, 15.19%)	superiorparietal (28.64%, 3.89%)	cuneus (3.17%, 2.76%)
ethnicity_group	3	1070	2.39958165126837	-0.0550304889365613	0.0132154704750489	postcentral (91.21%, 10.25%)	supramarginal (5.14%, 0.64%)	insula (2.06%, 0.42%)
ethnicity_group	4	1000	2.5163055663958	-0.0511780914254487	0.012372381481342	superiortemporal (83.5%, 11.48%)	supramarginal (16.5%, 1.92%)	NA
ethnicity_group	5	530	2.45414468343952	-0.0532246519372148	0.0130564969665599	transversetemporal (74.34%, 37.03%)	superiortemporal (25.66%, 1.87%)	NA
ethnicity_group	6	488	2.51397175545448	-0.0541464802503708	0.0147685651728486	superiortemporal (77.05%, 5.17%)	insula (22.95%, 2.14%)	NA
ethnicity_group	7	443	2.53191469940049	-0.0550369965354019	0.0125845842164338	isthmuscingulate (98.65%, 17.27%)	precuneus (1.35%, 0.08%)	NA
