variable	cluster	n_vertices	mean_thickness	mean_coefficient	mean_se	top_region1	top_region2	top_region3
(Intercept)	1	145428	2.45063493156886	2.49650944293006	0.0536975877439278	superiorfrontal (8.17%, 100.00%)	precentral (7.35%, 99.80%)	superiorparietal (7.02%, 99.91%)
year14_smokingstatus3	1	3636	2.41917214702444	-0.0659553920604264	0.0167851636582746	superiorfrontal (71.45%, 21.87%)	paracentral (23.93%, 22.71%)	caudalanteriorcingulate (2.89%, 6.53%)
year14_smokingstatus3	2	1470	2.42544818858984	-0.0534122533209267	0.0138756467035788	rostralmiddlefrontal (53.4%, 9.98%)	superiorfrontal (43.2%, 5.35%)	medialorbitofrontal (3.2%, 1.68%)
year14_smokingstatus3	3	1461	2.53787932613956	-0.0963438863774875	0.0242881161555352	superiortemporal (76.73%, 16.32%)	temporalpole (23.27%, 41.62%)	NA
year14_smokingstatus3	4	521	2.4240573919626	-0.0622368669655753	0.0166139509064108	superiorfrontal (73.7%, 3.23%)	posteriorcingulate (26.3%, 4.58%)	NA
year14_smokingstatus3	5	439	2.46160260332531	-0.0477419242279812	0.011843038444961	caudalmiddlefrontal (93.62%, 11.76%)	rostralmiddlefrontal (4.10%, 0.23%)	parsopercularis (2.05%, 0.36%)
year14_smokingstatus3	6	309	2.55757801506805	-0.051263838174563	0.0128350833424858	inferiorparietal (77.02%, 2.46%)	lateraloccipital (22.98%, 1.19%)	NA
year14_smokingstatus3	7	494	2.39052042163028	-0.0445729438894191	0.0117170113282135	precentral (62.75%, 2.90%)	insula (16.80%, 1.63%)	postcentral (12.96%, 0.70%)
AGEPARENT.x	1	2313	2.4429847730085	-0.00467189331216858	0.00111183456086944	superiorfrontal (100%, 19.47%)	NA	NA
AGEPARENT.x	2	3715	2.46428634265924	-0.00415791494033549	0.000925671707473389	insula (44.04%, 32.14%)	lateralorbitofrontal (11.60%, 9.90%)	superiortemporal (9.85%, 5.33%)
AGEPARENT.x	3	1342	2.42769490688884	0.00464512560177933	0.00112540275088356	lateraloccipital (36.89%, 8.30%)	pericalcarine (30.85%, 22.71%)	lingual (27.42%, 9.45%)
AGEPARENT.x	4	847	2.37414648110048	-0.0037205344139694	0.000828906148232282	superiortemporal (57.97%, 7.15%)	middletemporal (29.16%, 4.88%)	bankssts (12.87%, 4.96%)
AGEPARENT.x	5	530	2.40328175649435	-0.00308297572191805	0.000823931550971707	rostralmiddlefrontal (100%, 6.74%)	NA	NA
AGEPARENT.x	6	517	2.36345703143622	-0.00340287909596236	0.000927307325837741	parstriangularis (99.03%, 21.51%)	parsorbitalis (0.97%, 0.53%)	NA
AGEPARENT.x	7	645	2.43855772996405	-0.00373396713777568	0.00105139940278605	superiorfrontal (55.04%, 2.99%)	caudalanteriorcingulate (23.57%, 9.45%)	posteriorcingulate (21.40%, 4.61%)
AGEPARENT.x	8	565	2.40942747765623	-0.00422327729246983	0.00108671925407711	precentral (100%, 5.28%)	NA	NA
sex	1	4946	2.50073862657706	0.0595361080990025	0.011943626453105	inferiorparietal (47.57%, 24.32%)	lateraloccipital (45.81%, 38.00%)	supramarginal (4.67%, 2.83%)
sex	2	7724	2.46435598213713	-0.0570647539566105	0.0109126602417916	insula (26.04%, 39.51%)	superiortemporal (21.47%, 24.14%)	supramarginal (14.98%, 14.20%)
sex	3	4533	2.42256694137229	0.0650803691370812	0.0102335306642811	postcentral (74.52%, 36.97%)	paracentral (18.55%, 21.95%)	precuneus (4.26%, 2.42%)
sex	4	3413	2.42459841957707	0.0653970410145215	0.0125108477871002	precentral (84.50%, 26.94%)	superiorfrontal (15.38%, 4.42%)	caudalmiddlefrontal (0.12%, 0.11%)
sex	5	1667	2.44478333722354	-0.0608618413916625	0.0136299336336924	middletemporal (44.21%, 14.57%)	inferiortemporal (41.27%, 16.39%)	fusiform (14.52%, 5.19%)
sex	6	1785	2.42653388618299	-0.0559680507922707	0.0104641638414449	superiorfrontal (64.54%, 9.70%)	rostralanteriorcingulate (26.16%, 44.43%)	medialorbitofrontal (5.99%, 3.82%)
sex	7	1390	2.45514033758337	0.0461857146818003	0.0110702021831392	superiorparietal (100%, 13.6%)	NA	NA
sex	8	1391	2.40704860642777	-0.0687659006595269	0.0132820663744708	lingual (53.34%, 19.05%)	isthmuscingulate (21.50%, 12.52%)	precuneus (21.42%, 3.74%)
sex	9	870	2.51127962009784	0.056707142237788	0.0134897363714703	inferiortemporal (70.23%, 14.55%)	middletemporal (29.77%, 5.12%)	NA
sex	10	1479	2.46119326637276	-0.0490858931739218	0.00919521391955963	posteriorcingulate (71.81%, 35.47%)	paracentral (27.52%, 10.62%)	isthmuscingulate (0.27%, 0.17%)
sex	11	1167	2.42934245233842	-0.0582586599700632	0.0097578099742053	medialorbitofrontal (66.15%, 27.56%)	lateralorbitofrontal (33.85%, 9.07%)	NA
sex	12	579	2.38784582125133	0.0498643679631189	0.0105855159239525	parsorbitalis (88.60%, 54.23%)	rostralmiddlefrontal (8.64%, 0.64%)	parstriangularis (2.76%, 0.67%)
sex	13	529	2.43508504020045	0.0418408379127713	0.0100452612560869	superiorfrontal (91.3%, 4.07%)	frontalpole (8.7%, 12.47%)	NA
sex	14	783	2.39735714902933	-0.0463403545695893	0.00908438658513043	precuneus (71.9%, 7.06%)	isthmuscingulate (28.1%, 9.21%)	NA
sex	15	534	2.38064533943959	0.0426646196335722	0.010477636755908	superiorparietal (100%, 5.22%)	NA	NA
sex	16	853	2.49530469466065	0.0566655172805923	0.013034975580906	postcentral (78.66%, 7.34%)	supramarginal (21.34%, 2.23%)	NA
sex	17	426	2.51400684764424	-0.0350940895437355	0.00759393217352529	rostralmiddlefrontal (100%, 5.42%)	NA	NA
sex	18	532	2.4138186952896	0.0776111887963979	0.0159013643930841	parahippocampal (70.30%, 21.47%)	entorhinal (17.11%, 10.09%)	fusiform (12.59%, 1.44%)
sex	19	342	2.41082800633859	-0.0371936682328495	0.00865715968678569	rostralmiddlefrontal (100%, 4.35%)	NA	NA
sex	20	183	2.48470096189525	0.0488955925111888	0.0131500246298443	lingual (100%, 4.7%)	NA	NA
